AFS,Gender,MS,Origin,POB,LocLang,IntLang,BornWar,Religion,SecondarySchool,NationalExamGrade,Degree,Specialisation,GradeIT,UniversityType,InstitutionNature,InstitutionLocation,SchoolWar,Fees,Funding,UniversityReliable,UnivPromoteEmploy,Internship,ExperienceYears,SpecialisationCompetence,ITCompetence,GraduateComSkill,PhysicalDisability,PsychoDisability,SleepingTime,Family,Father,Mother,PoliticianFam,AdminstrativeFam,CompanyFam,Relatives,MaritalRequirement,HomePandemic,HomeEpidemic,SchoolPandemic,SchoolEpidemic,Employed
between 21 and 23 years,Female,Married,Muswahili,Town,Three,Two,Yes,Catholic,Commerce,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Catholic,University,Town,No,More than $1000,Parents' finances,Yes,Yes,No,1.0,Average,Mastery,High,No,No,Before 10 pm,Medium,Yes,Yes,Yes,Yes,Yes,No,Nothing,Yes,Yes,No,No,No
between 25 and 27 years,Male,Single,Muswahili,Town,Three,Three,No,Catholic,Industrial Technique,Satisfaction (50%-69%),Bachelor,Mathematics and Computing,Satisfaction (50%-69%),Catholic,University,Town,No,Between $500 and $1000,Own funds,Yes,Yes,Yes,1.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,No,Yes,Yes,No,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Female,Single,Muluba,Town,Four,One,Yes,Protestant,Latin-Philosophy,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,No,Yes,No,4.0,Average,Average,Medium,No,No,Before 10 pm,Rich,Yes,No,No,No,Yes,No,Nothing,No,No,Yes,Yes,Yes
between 27 and 29 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyond,Male,Single,Muswahili,Capital City(Kinshasa),Two,,No,Protestant,IT Technique,Satisfaction (50%-69%),Master,Mathematics and Computing,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,Yes,Yes,5.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,No,Yes,No,No,No
between 21 and 23 years,Female,Single,Muswahili,Village,Two,One,No,Catholic,Commerce,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,Yes,Yes,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,Yes,Nothing,No,No,No,No,Yes
between 23 and 25 years,Female,Married,Muswahili,Town,Two,Two,Yes,Catholic,Math-Physics,Satisfaction (50%-69%),Master,Mathematics and Computing,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,3.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,No,Yes
beyond,Male,Married,Mukongo,Capital City(Kinshasa),Two,One,No,Protestant,Biochemistry,Satisfaction (50%-69%),Master,IT security,Great Distinction (80%-89%),Public,University,Capital City(Kinshasa),No,Between $500 and $1000,Own funds,No,No,No,1.0,Mastery,Mastery,High,No,No,After midnight,Medium,Yes,No,No,Yes,Yes,No,Nothing,Yes,No,No,No,Yes
between 27 and 29 years,Female,Single,Mungala,Town,Two,Two,No,Catholic,General Pedagogy,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,4.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,No,No,Married,No,Yes,Yes,Yes,No
between 25 and 27 years,Male,Single,Muswahili,Town,Two,More,No,Catholic,Social Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,No,Less than $500,Family Finances,Yes,Yes,Yes,5.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,Yes,Nothing,No,No,Yes,Yes,No
between 25 and 27 years,Male,Single,Mungala,Capital City(Kinshasa),One,One,No,Catholic,Math-Physics,Satisfaction (50%-69%),Bachelor,Networking and Telecommunication,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,No,No,No,3.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Poor,No,No,No,No,Yes,No,Nothing,Yes,No,Yes,No,No
beyond,Male,Single,Muluba,Capital City(Kinshasa),Two,One,No,Evangelical,IT Technique,Satisfaction (50%-69%),Bachelor,Networking and Telecommunication,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,No,No,No,1.0,Average,Average,Medium,No,No,Before 10 pm,Medium,Yes,Yes,No,No,No,No,Married,No,No,No,No,No
between 23 and 25 years,Male,Single,Muswahili,Town,Two,Two,Yes,Catholic,,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Catholic,University,Town,Yes,Between $500 and $1000,Family Finances,Yes,No,Yes,1.0,Average,Average,Medium,No,No,Before 10 pm,Poor,No,No,No,Yes,Yes,Yes,Nothing,No,No,Yes,Yes,Yes
between 23 and 25 years,Male,Single,Muswahili,Rural municipality,Three,Two,Yes,Protestant,Math-Physics,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,3.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,No,Married,Yes,Yes,No,No,No
between 29 and 31 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,Two,No,Evangelical,General Pedagogy,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,No,Yes,No,5.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,Yes,Nothing,Yes,No,Yes,No,Yes
between 23 and 25 years,Female,Single,Muswahili,Town,Two,Two,Yes,Protestant,Commerce,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Private,University,Village,Yes,Less than $500,Parents' finances,Yes,No,No,3.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,Yes,Yes,No,Yes,No
between 27 and 29 years,Male,Single,Muswahili,Village,Three,Two,Yes,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Mathematics and Computing,Distinction (70%-79%),Private,University,,No,More than $1000,Own funds,Yes,Yes,Yes,3.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,No,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Male,Single,Muswahili,Town,Three,Two,No,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Data Science,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,Yes,No,Yes,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,Yes,No,No,Yes,Yes,Married,No,No,Yes,Yes,No
between 23 and 25 years,Male,Single,Muswahili,Rural municipality,Three,One,Yes,Protestant,IT Technique,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Public,College,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,Yes,Nothing,Yes,Yes,No,No,No
between 21 and 23 years,Female,Single,Mukongo,Capital City(Kinshasa),Two,One,Yes,Catholic,Commerce,Satisfaction (50%-69%),Master,Mathematics and Computing,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),Yes,Less than $500,Parents' finances,Yes,No,No,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,No,Nothing,No,No,Yes,No,No
between 21 and 23 years,Male,Single,Mukongo,Capital City(Kinshasa),One,One,No,Kimbanguist,Commerce,Satisfaction (50%-69%),Master,Data Science,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,Yes,Yes,3.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Married,No,Yes,No,No,No
between 25 and 27 years,Female,Single,Muswahili,Town,Four,One,Yes,Protestant,IT Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Distinction (70%-79%),Public,College,Town,Yes,Less than $500,Own funds,Yes,No,No,2.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,No,No,Nothing,Yes,Yes,Yes,Yes,No
between 21 and 23 years,Female,Single,Muswahili,Village,Two,Two,,Catholic,Industrial Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,No,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,3.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,No,Nothing,Yes,Yes,No,No,Yes
between 25 and 27 years,Female,Single,Mukongo,Town,Two,Two,No,Evangelical,General Pedagogy,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,Yes,Yes,2.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,Yes,Yes,No,Single,Yes,Yes,Yes,No,No
between 21 and 23 years,Female,Single,Muswahili,Village,Two,One,Yes,Protestant,Commerce,,Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,Yes,Less than $500,Parents' finances,No,Yes,Yes,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 23 and 25 years,Female,Single,Muswahili,Rural municipality,Two,One,No,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,College,Town,No,Less than $500,Parents' finances,Yes,Yes,Yes,2.0,Average,Average,Medium,No,No,Before 10 pm,Medium,Yes,Yes,No,Yes,Yes,Yes,Single,Yes,Yes,Yes,Yes,No
between 27 and 29 years,Male,Single,Muswahili,Town,Three,Two,Yes,Catholic,Commerce,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Protestant,University,Village,No,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,3.0,Mastery,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,Yes,Yes,Nothing,No,Yes,No,No,No
beyond,Male,Married,Muswahili,Rural municipality,Three,Three,Yes,Catholic,Industrial Technique,Satisfaction (50%-69%),Master,Software engineering,Distinction (70%-79%),Private,University,Town,No,More than $1000,Family Finances,Yes,Yes,Yes,5.0,Mastery,Mastery,High,No,No,After midnight,Medium,No,No,No,No,No,No,Nothing,Yes,Yes,Yes,No,Yes
between 27 and 29 years,Male,Single,Mukongo,Village,Two,One,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,University,Town,No,Less than $500,Parents' finances,No,No,No,4.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,No,No,Nothing,Yes,No,Yes,Yes,Yes
between 27 and 29 years,Male,Single,Muswahili,Town,Three,Two,No,Protestant,Biochemistry,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,No,No,Nothing,No,No,Yes,No,No
between 25 and 27 years,Male,Single,Muswahili,Town,Two,Two,Yes,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Private,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,3.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 21 and 23 years,Male,Married,Muswahili,Town,Three,Two,No,Catholic,Industrial Technique,Distinction (70%-79%),Master,Networking and Telecommunication,Distinction (70%-79%),Public,College,Capital City(Kinshasa),No,Between $500 and $1000,Own funds,Yes,Yes,Yes,3.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,Yes,Yes,No,Nothing,No,No,Yes,No,Yes
between 21 and 23 years,Male,Single,Muswahili,Capital City(Kinshasa),One,One,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,No,1.0,Average,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,No,Nothing,Yes,No,Yes,No,Yes
between 29 and 31 years,Male,Single,Muswahili,Town,More,One,Yes,Protestant,Industrial Technique,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,No,No,No,3.0,Average,Average,Medium,No,Yes,Before 10 pm,Poor,Yes,No,No,No,No,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 25 and 27 years,Male,Single,Other,Capital City(Kinshasa),Two,Two,No,Protestant,Biochemistry,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Own funds,Yes,Yes,Yes,3.0,Mastery,Mastery,Medium,No,No,Before 10 pm,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,Yes,No,Yes,No,Yes
between 25 and 27 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,Two,No,Evangelical,Professional Technique,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,No,No,No,5.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,No,No,Yes,Yes,Yes,No,Nothing,No,No,No,No,No
between 21 and 23 years,Male,Single,Muswahili,Village,Four,Two,No,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Information Systems Management,Distinction (70%-79%),Catholic,University,Town,No,Between $500 and $1000,Family Finances,Yes,Yes,Yes,3.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,Yes,Married,No,No,Yes,Yes,Yes
between 25 and 27 years,Male,Single,Muswahili,Town,More,Two,Yes,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Other,University,Village,Yes,Between $500 and $1000,Own funds,Yes,Yes,Yes,2.0,Mastery,Mastery,Medium,No,No,Between 10 pm and midnight,Medium,No,No,,,,,Single,No,No,No,No,No
between 23 and 25 years,Male,Single,Other,Rural municipality,Four,Three,Yes,Catholic,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Catholic,University,Town,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,No,Yes,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 21 and 23 years,Male,Single,Mukongo,Capital City(Kinshasa),One,One,No,Protestant,Math-Physics,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Public,College,Capital City(Kinshasa),No,Less than $500,Own funds,No,No,No,2.0,Average,Average,High,No,No,Between 10 pm and midnight,Poor,Yes,No,No,No,Yes,No,Nothing,Yes,No,Yes,No,No
between 23 and 25 years,Male,Single,Mukongo,Capital City(Kinshasa),One,One,No,Protestant,Math-Physics,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Public,College,Capital City(Kinshasa),No,Less than $500,Own funds,No,No,No,2.0,Average,Average,High,No,No,Between 10 pm and midnight,Poor,Yes,No,No,No,No,No,Nothing,Yes,No,Yes,No,No
between 29 and 31 years,Male,Married,Other,Town,More,Two,Yes,Catholic,Commerce,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Public,College,Town,Yes,Less than $500,Parents' finances,Yes,No,No,4.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Male,Single,Mukongo,Capital City(Kinshasa),Three,One,No,Protestant,Latin-Philosophy,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,Yes,2.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,No,No,No,Yes,Yes,Yes,Nothing,Yes,No,Yes,No,No
between 23 and 25 years,Male,Single,Other,Town,Three,Three,No,Catholic,Latin-Philosophy,Distinction (70%-79%),Master,Information Systems Management,Distinction (70%-79%),Catholic,University,Town,No,Between $500 and $1000,Parents' finances,No,Yes,Yes,4.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,No,Nothing,Yes,Yes,Yes,Yes,No
between 23 and 25 years,Male,Single,Other,Town,Two,Two,Yes,Catholic,Social Technique,Distinction (70%-79%),Master,Business and IT,Distinction (70%-79%),Public,College,Town,No,Less than $500,Parents' finances,Yes,No,Yes,3.0,Average,Mastery,Medium,No,No,After midnight,Medium,No,No,No,No,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,No
between 21 and 23 years,Female,Single,Mungala,Capital City(Kinshasa),Four,Four,No,Catholic,,Great Distinction (80%-89%),Bachelor,Business and IT,Distinction (70%-79%),Private,College,Capital City(Kinshasa),No,Less than $500,Parents' finances,No,Yes,Yes,4.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,No,No,Nothing,Yes,Yes,Yes,Yes,Yes
between 21 and 23 years,Female,Married,Mukongo,Town,Two,One,No,Protestant,General Pedagogy,Satisfaction (50%-69%),Bachelor,Networking,Satisfaction (50%-69%),Catholic,College,Town,No,Less than $500,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,No,No,Before 10 pm,Medium,Yes,No,No,No,Yes,No,Nothing,No,Yes,No,Yes,No
between 21 and 23 years,Male,Single,Other,Capital City(Kinshasa),Two,Two,No,Protestant,Math-Physics,Satisfaction (50%-69%),Master,Artificial Intelligence,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,Yes,No,5.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,No,Single,No,No,No,No,No
between 23 and 25 years,Male,Single,Other,Town,Three,One,No,Evangelical,Latin-Philosophy,Satisfaction (50%-69%),Master,Business and IT,Distinction (70%-79%),Public,College,Town,No,Less than $500,Parents' finances,Yes,No,No,3.0,Average,Average,Medium,No,No,After midnight,Medium,No,Yes,No,No,No,No,Nothing,Yes,Yes,No,No,No
between 23 and 25 years,Female,Single,Other,Town,Three,One,Yes,Catholic,,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,Yes,Yes,Yes,No,No
between 23 and 25 years,Female,Single,Other,Town,Three,One,Yes,Catholic,,Satisfaction (50%-69%),Bachelor,Business and IT,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),Yes,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,Yes,Yes,No,Yes,No
between 29 and 31 years,Male,Single,Other,Capital City(Kinshasa),Two,Two,No,Catholic,Math-Physics,Satisfaction (50%-69%),Master,Data Science,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,No,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,No,Nothing,Yes,No,Yes,No,Yes
between 23 and 25 years,Male,Single,Muluba,Town,Two,Two,Yes,Protestant,Commerce,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Catholic,University,Rural municipality,No,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,6.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,No,Yes,Yes,Nothing,No,No,No,No,No
between 23 and 25 years,Male,Single,Other,Village,Two,Two,Yes,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Information Systems Management,Distinction (70%-79%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,Yes,No,No,5.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Poor,No,No,No,,,,,Yes,Yes,Yes,Yes,Yes
between 27 and 29 years,Male,Single,Other,Village,Three,Two,Yes,Catholic,Biochemistry,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Own funds,No,No,No,2.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,No,No,Yes,No,Nothing,No,No,No,No,Yes
between 23 and 25 years,Male,Single,Other,Rural municipality,Two,One,No,Protestant,General Pedagogy,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,Yes,Yes,3.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,No,No,No,Yes,Yes,No,Nothing,No,Yes,Yes,Yes,Yes
beyond,Male,Single,Other,Rural municipality,Three,Three,Yes,Catholic,General Pedagogy,Satisfaction (50%-69%),Master,Information Systems Management,Great Distinction (80%-89%),Catholic,University,Town,Yes,Less than $500,Family Finances,Yes,Yes,Yes,1.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,Yes,Yes,Yes
between 23 and 25 years,Male,Single,Muswahili,Town,Four,Two,Yes,Protestant,Social Technique,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Protestant,University,Rural municipality,Yes,Less than $500,Parents' finances,Yes,Yes,Yes,1.0,Average,Average,High,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,Yes,Yes,Yes,Nothing,Yes,Yes,No,Yes,Yes
between 21 and 23 years,Female,Single,Muswahili,Capital City(Kinshasa),Three,One,No,Evangelical,IT Technique,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Between $500 and $1000,Parents' finances,Yes,Yes,Yes,11.0,Mastery,Average,Medium,No,No,Between 10 pm and midnight,Medium,,Yes,Yes,No,Yes,No,Nothing,Yes,No,No,No,No
,Male,Single,Muswahili,Capital City(Kinshasa),Three,Two,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Bachelor,Networking,Satisfaction (50%-69%),Other,University,Capital City(Kinshasa),No,Less than $500,Own funds,Yes,No,Yes,4.0,Average,Average,Medium,No,No,After midnight,Medium,Yes,Yes,No,Yes,Yes,No,Nothing,No,Yes,Yes,No,No
between 21 and 23 years,Female,Single,Mungala,Capital City(Kinshasa),Two,Two,No,Protestant,Commerce,Satisfaction (50%-69%),Bachelor,Business and IT,Great Distinction (80%-89%),Private,College,Town,No,Between $500 and $1000,Own funds,No,Yes,Yes,5.0,Average,Average,Medium,No,Yes,Before 10 pm,Medium,Yes,No,Yes,Yes,Yes,No,Single,No,No,No,No,No
between 23 and 25 years,Female,Single,Muswahili,Capital City(Kinshasa),Three,One,No,Catholic,Latin-Philosophy,Satisfaction (50%-69%),Bachelor,Networking,Satisfaction (50%-69%),Private,College,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,1.0,Average,Average,High,No,,Between 10 pm and midnight,Medium,Yes,Yes,Yes,Yes,Yes,Yes,Nothing,No,No,No,No,No
between 23 and 25 years,Male,Single,Mukongo,Capital City(Kinshasa),Three,Two,No,Evangelical,Math-Physics,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Family Finances,No,No,No,5.0,Mastery,Mastery,High,No,No,After midnight,Medium,No,No,Yes,Yes,Yes,No,Nothing,Yes,No,Yes,No,No
between 23 and 25 years,Female,Single,Muswahili,Town,One,One,No,Catholic,Commerce,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,College,Town,No,Less than $500,Parents' finances,Yes,No,Yes,1.0,Average,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,Yes,No,Nothing,Yes,No,Yes,No,Yes
between 23 and 25 years,Male,Single,Mukongo,Capital City(Kinshasa),Two,One,No,Protestant,Biochemistry,Satisfaction (50%-69%),Master,Networking,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,No,Yes,3.0,Average,Average,Medium,No,No,After midnight,Medium,No,No,No,Yes,No,No,Nothing,Yes,No,Yes,No,No
between 23 and 25 years,Male,Single,Muluba,Village,Two,Two,No,Evangelical,Biochemistry,Satisfaction (50%-69%),Master,Information Systems Management,Satisfaction (50%-69%),Public,University,Capital City(Kinshasa),No,Less than $500,Parents' finances,Yes,Yes,Yes,3.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,No,Yes,Yes,Yes,No,Nothing,Yes,No,No,No,No
between 21 and 23 years,Male,Single,Muswahili,Town,Two,One,Yes,Protestant,General Pedagogy,Satisfaction (50%-69%),Bachelor,,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Family Finances,No,No,No,1.0,Average,Average,Medium,No,No,Before 10 pm,Medium,No,No,No,No,No,No,Nothing,Yes,Yes,Yes,No,No
between 21 and 23 years,Male,Single,Muswahili,Town,Three,Two,Yes,Catholic,Social Technique,Distinction (70%-79%),Master,Business and IT,Distinction (70%-79%),Public,College,Town,Yes,More than $1000,Family Finances,Yes,No,No,5.0,Average,Average,High,No,No,After midnight,Medium,Yes,No,No,No,Yes,Yes,Nothing,No,No,No,No,No
beyond,Male,Married,Muswahili,Town,Two,Three,Yes,Catholic,Math-Physics,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,College,Town,No,Less than $500,Parents' finances,Yes,No,No,3.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,No,No,Yes,Yes
between 21 and 23 years,Female,Single,Muswahili,Village,Four,Two,Yes,Other,Commerce,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,College,Town,No,Between $500 and $1000,Parents' finances,Yes,No,Yes,3.0,Average,Mastery,High,No,No,Before 10 pm,Medium,No,No,Yes,Yes,Yes,Yes,Nothing,Yes,No,No,No,No
between 21 and 23 years,Male,Single,Muswahili,Town,Two,Two,Yes,Protestant,IT Technique,Satisfaction (50%-69%),Bachelor,Networking and Telecommunication,Satisfaction (50%-69%),Catholic,University,Town,Yes,Between $500 and $1000,Parents' finances,Yes,No,Yes,5.0,Average,Average,Medium,No,No,Between 10 pm and midnight,Medium,Yes,Yes,No,No,Yes,No,Married,Yes,Yes,Yes,Yes,No
beyond,Male,Married,Muswahili,Town,Two,Three,Yes,Catholic,Math-Physics,Satisfaction (50%-69%),Master,Business and IT,Satisfaction (50%-69%),Public,College,Town,No,Less than $500,Parents' finances,Yes,No,No,3.0,Mastery,Mastery,High,No,No,Between 10 pm and midnight,Medium,Yes,No,No,Yes,Yes,Yes,Nothing,Yes,No,No,Yes,Yes
